date,event_name,location_name,location_address,lat,long
07/08/2024,Gordon Parks,National Gallery of Art,Constitution Ave. NW,38.89124311010293,-77.02000329924316
07/08/2024,Bucky Malone,Songbyrd,540 Penn St NE,38.91014375384035,-76.99653444717399
07/08/2024,Profs & Pints: Districts of Coyotes,Penn Social,801 E St NW,38.89621726939814,-77.0233748377391
07/09/2024,Daphane Eckman,Alethia Tanner Park,227 Harry Thomas Way NE,38.91039666172,-77.00259128707157
07/09/2024,Pat Benatar,Warner Theatre,513 13th St NW,38.89643176931996,-77.02912362100918
07/09/2024,The Used,Rams Head Live,20 Market Pl Baltimore,39.28945264994791,-76.60736167631566
07/09/2024,Dom Kennedy,Howard Theatre,620 T Street NW,38.91525510366189,-77.0210362445851
07/09/2024,Amy Helm,Kennedy Center,2700 F St NW,38.89576317399458,-77.05501284587274
07/09/2024,Book Talk Emily Nussbaum,Politics & Prose,5015 Connecticut Ave NW,38.955440112836484,-77.06973113063496
07/10/2024,Book Talk: Vicki Valosik,Politics & Prose,610 Waters St SW,38.87567682551386,-77.02122716224771
07/10/2024,Home Runs for Horton’s Kids,Nationals Park,1500 South Capitol St SE,38.87262613091461,-77.00742052712249
07/10/2024,Pilobolus,Wolf Trap,1551 Trap Rd Vienna,38.93878160555606,-77.26601289057734
07/10/2024,DCanter Taste Fundamentals,DCanter,545 8th Street SE,38.8814783888878,-76.99535511738883
07/10/2024,Sundeck Summer Reads,The Yards,355 Water ST SE,38.87355060408123,-77.00120568903881
07/10/2024,Live from the Lawn,Strathmore,10701 Rockville Pike,39.03138277316991,-77.10435498908566
07/10/2024,Book Talk Gabrielle Zevin,Sixth&I,600 I Street NW,38.90063249255368,-77.02017824122832
07/10/2024,Yarn Workshop,Phillips Collection,1600 21st Street NW,38.911752254488405,-77.04683808055854
07/11/2024,Justin Hayward,Warner Theatre,513 13th St NW,38.89643176931996,-77.02912362100918
07/11/2024,Wizard of Oz,Library of Congress,101 Independence Ave SE,38.888653139255254,-77.00474640106664
07/11/2024,Nina Simone Tribute,Bleus Alley,1073 Wisconsin Ave NW,38.90469824177613,-77.06248909851509
07/11/2024,Fort Reno Park Concert,Fort Reno Park,4000 Chesapeake St NW,38.95093464301648,-77.07896253873672
07/11/2024,Drinks and Dominos,National Building Museum,401 F St NW,38.897743249851274,-77.01738276563155
07/11/2024,National Treasure,Navy Memorial,701 Pennsylvania Ave NW,38.89450759800756,-77.02285366966483
07/12/2024,Gotta Swing,The Wharf,760 Maine Ave SW,38.87932579392325,-77.024083462759
07/12/2024,EU ft Sugar Bear,Capital One Hall,7750 Capital One Tower Rd Tysons,38.925342094102795,-77.21135598318386
07/12/2024,Janet Jackson,Capital One Arena,601 F St NW,38.89811555269163,-77.02112178400269
07/12/2024,Romanian Festival,The Wharf,760 Maine Ave SW,38.87932579392325,-77.024083462759
07/12/2024,Bktherula,Howard Theatre,620 T Street NW,38.91525510366189,-77.0210362445851
07/13/2024,Jazz in the Parks,The Great Lawn,1301 Main Drive NW,38.974522298106216,-77.03078610268958
07/13/2024,Ruffled Feathers,National Museum of Asian Art,1100 Jefferson Dr SW,38.88805230831094,-77.02731075275238
07/13/2024,Star Wars,Wolf Trap,1551 Trap Rd Vienna,38.93878160555606,-77.26601289057734
07/13/2024,Nimesh Patel,DC Improv,1140 Connecticut Ave NW,38.90494530040952,-77.04104456078383
07/14/2024,Totally Tubular Fest,The Anthem,901 Wharf St SW,38.880081444172866,-77.02607928846676
07/14/2024,Bastille Day at Le Dip,Le Diplomate,1601 14th St NW,38.911306506574796,-77.03172787636439
